,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
0,0,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0055781,Beauty and the Beast,77,"Family,Fantasy,Horror",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
1,1,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0074193,Beauty and the Beast,74,"Family,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
2,2,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,['Not found'],160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0092626,Beauty and the Beast,94,"Family,Fantasy,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0101414,Beauty and the Beast,84,"Animation,Family,Fantasy",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
4,4,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0195545,Beauty and the Beast,57,Adult,429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
5,5,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0338769,Blood of Beasts,90,"Action,Adventure,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
6,6,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1140853,Beauty and the Beast,50,Music,429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
7,7,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt11861230,Beauty and the Beast,\N,"Comedy,Drama,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
8,8,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1202150,Beauty and the Beast,60,"Animation,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
9,9,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1276939,Beauty and the Beast,\N,"Family,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
10,10,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1410295,Beauty and the Beast,90,"Drama,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
11,11,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1662015,Beauty and the Beast,50,"Drama,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
12,12,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt2261303,Beauty and the Beast: A Dark Tale,\N,"Drama,Fantasy,Sci-Fi",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
13,13,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt2771200,Beauty and the Beast,129,"Family,Fantasy,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
14,14,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt5137562,Beauty and the Beast,80,"Drama,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
15,15,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt5341002,Beauty and the Beast,\N,"Family,Fantasy",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
16,16,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt9173998,Beauty and the Beast,60,"Family,Fantasy,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
17,17,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt0055781,Beauty and the Beast,77,"Family,Fantasy,Horror",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
18,18,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt0074193,Beauty and the Beast,74,"Family,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
19,19,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt0092626,Beauty and the Beast,94,"Family,Fantasy,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
20,20,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt0101414,Beauty and the Beast,84,"Animation,Family,Fantasy",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
21,21,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt0195545,Beauty and the Beast,57,Adult,429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
22,22,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt0338769,Blood of Beasts,90,"Action,Adventure,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
23,23,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt1140853,Beauty and the Beast,50,Music,429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
24,24,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt11861230,Beauty and the Beast,\N,"Comedy,Drama,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
25,25,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt1202150,Beauty and the Beast,60,"Animation,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
26,26,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt1276939,Beauty and the Beast,\N,"Family,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
27,27,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt1410295,Beauty and the Beast,90,"Drama,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
28,28,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt1662015,Beauty and the Beast,50,"Drama,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
29,29,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt2261303,Beauty and the Beast: A Dark Tale,\N,"Drama,Fantasy,Sci-Fi",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
30,30,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt2771200,Beauty and the Beast,129,"Family,Fantasy,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
31,31,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt5137562,Beauty and the Beast,80,"Drama,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
32,32,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt5341002,Beauty and the Beast,\N,"Family,Fantasy",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
33,33,Beauty and the Beast,84.0,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",25000000.0,218967620.0,440118382.0,1,22 November 1991,tt9173998,Beauty and the Beast,60,"Family,Fantasy,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,1991-01-01,1.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
34,71,Grease,110.0,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",['Randal Kleiser'],"6th Street Viaduct, Los Angeles, California, USA",Grease,1.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",6000000.0,190071103.0,397217505.0,2,16 June 1978,tt0077631,Grease,110,"Musical,Romance",119817954.0,75236934.0,2059,51,1994-04-24,448756.38202247187,59.15842696629219,0.8633820224719105,138.58612440191388,1082.4044943820224,1978-01-01,2.0,Animation,Family,Fantasy,Musical,Romance,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
35,72,Grease,110.0,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",['Randal Kleiser'],"6th Street Viaduct, Los Angeles, California, USA",Grease,1.0,"['Musical', 'Romance']",6000000.0,190071103.0,397217505.0,2,16 June 1978,tt6687650,Grease,\N,Action,119817954.0,75236934.0,2059,51,1994-04-24,448756.38202247187,59.15842696629219,0.8633820224719105,138.58612440191388,1082.4044943820224,1978-01-01,2.0,Musical,Romance,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
36,73,The Lion King,118.0,"['Donald Glover', 'Beyoncé', 'Seth Rogen']",['Jon Favreau'],"Los Angeles, California, USA",The Lion King,1.0,"['Musical', 'Romance']",260000000.0,543638043.0,1656963790.0,2,19 July 2019,tt0110357,The Lion King,88,"Adventure,Animation,Drama",1677801504.5,1732523227.0,9284,33,1997-10-19,1438937.825471698,107.17120926243577,0.9768338765008552,184.3736051502146,1716.0540308747854,2019-01-01,2.0,Musical,Romance,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
37,74,The Lion King,118.0,"['Donald Glover', 'Beyoncé', 'Seth Rogen']",['Jon Favreau'],"Los Angeles, California, USA",The Lion King,1.0,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",260000000.0,543638043.0,1656963790.0,2,19 July 2019,tt6105098,The Lion King,118,"Adventure,Animation,Drama",1677801504.5,1732523227.0,9284,33,1997-10-19,1438937.825471698,107.17120926243577,0.9768338765008552,184.3736051502146,1716.0540308747854,2019-01-01,2.0,Animation,Adventure,Drama,Family,Musical,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
38,75,The Lion King,88.0,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']","['Roger Allers', 'Rob Minkoff']","Walt Disney Studios Motion Pictures - 500 S. Buena Vista Street, Burbank, California, USA",The Lion King,0.0,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",45000000.0,422783777.0,968511805.0,1,24 June 1994,tt0110357,The Lion King,88,"Adventure,Animation,Drama",1677801504.5,1732523227.0,9284,33,1997-10-19,1438937.825471698,107.17120926243577,0.9768338765008552,184.3736051502146,1716.0540308747854,1994-01-01,1.0,Animation,Adventure,Drama,Family,Musical,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
39,76,The Lion King,88.0,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']","['Roger Allers', 'Rob Minkoff']","Walt Disney Studios Motion Pictures - 500 S. Buena Vista Street, Burbank, California, USA",The Lion King,0.0,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",45000000.0,422783777.0,968511805.0,1,24 June 1994,tt6105098,The Lion King,118,"Adventure,Animation,Drama",1677801504.5,1732523227.0,9284,33,1997-10-19,1438937.825471698,107.17120926243577,0.9768338765008552,184.3736051502146,1716.0540308747854,1994-01-01,1.0,Animation,Adventure,Drama,Family,Musical,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
40,79,West Side Story,153.0,"['Natalie Wood', 'George Chakiris', 'Richard Beymer']","['Jerome Robbins', 'Robert Wise']","Church of Saint Paul the Apostle, Columbus Avenue &amp; West 60th Street, New York City, New York, USA",West Side Story,0.0,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",6000000.0,44055492.0,44061777.0,0,18 October 1961,tt0055614,West Side Story,153,"Crime,Drama,Musical",111313468.14,151952013.0,761,104,2009-03-01,1021224.4783486237,88.90449541284404,0.8376807339449541,310.1009174311927,1701.0,1961-01-01,0.0,Animation,Adventure,Drama,Family,Musical,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
41,80,West Side Story,153.0,"['Natalie Wood', 'George Chakiris', 'Richard Beymer']","['Jerome Robbins', 'Robert Wise']","Church of Saint Paul the Apostle, Columbus Avenue &amp; West 60th Street, New York City, New York, USA",West Side Story,0.0,"['Crime', 'Drama', 'Musical', 'Romance']",6000000.0,44055492.0,44061777.0,0,18 October 1961,tt3581652,West Side Story,\N,"Crime,Drama,Musical",111313468.14,151952013.0,761,104,2009-03-01,1021224.4783486237,88.90449541284404,0.8376807339449541,310.1009174311927,1701.0,1961-01-01,0.0,Crime,Drama,Musical,Romance,,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
